,title,abstract,refers
158,The Adapter-Bot: All-In-One Controllable Conversational Model,"In this paper, we present the Adapter-Bot, a generative chat-bot that uses a fixed backbone
conversational model such as DialGPT (Zhang et al. 2019) and triggers on-demand …",6회 인용
159,Maria: A visual experience powered conversational agent,"Arguably, the visual perception of conversational agents to the physical world is a key way
for them to exhibit the human-like intelligence. Image-grounded conversation is thus …",5회 인용
160,Dynamic composition for conversational domain exploration,"We study conversational domain exploration (CODEX), where the user's goal is to enrich her
knowledge of a given domain by conversing with an informative bot. Such conversations …",5회 인용
161,Information seeking in the spirit of learning: A dataset for conversational curiosity,"Open-ended human learning and information-seeking are increasingly mediated by digital
assistants. However, such systems often ignore the user's pre-existing knowledge …",7회 인용
162,[HTML] Entity Resolution in Open-domain Conversations,"In recent years, incorporating external knowledge for response generation in open-domain
conversation systems has attracted great interest. To improve the relevancy of retrieved …",7회 인용
163,[PDF] Joint generation and bi-encoder for situated interactive multimodal conversations,"This paper presents our work on the fourth track in Dialog State Tracking Challenge 9–
Situated Interactive MultiModal Conversations (SIMMC) challenge, which aims at building …",5회 인용
164,Pednet: A persona enhanced dual alternating learning network for conversational response generation,"Endowing a chatbot with a personality is essential to deliver more realistic conversations.
Various persona-based dialogue models have been proposed to generate personalized …",4회 인용
165,Knowledge augmented dialogue generation with divergent facts selection,"The end-to-end open-domain dialogue system is a challenging task since the existing
neural models suffer from the issue of trivial responses. Employing background knowledge …",4회 인용
166,Am i me or you? state-of-the-art dialogue models cannot maintain an identity,"State-of-the-art dialogue models still often stumble with regards to factual accuracy and self-
contradiction. Anecdotally, they have been observed to fail to maintain character identity …",4회 인용
167,Interview: A large-scale open-source corpus of media dialog,"Existing conversational datasets consist either of written proxies for dialog or small-scale
transcriptions of natural speech. We introduce'Interview': a large-scale (105K conversations) …",4회 인용
168,On the influence of masking policies in intermediate pre-training,"Current NLP models are predominantly trained through a two-stage"" pre-train then fine-tune""
pipeline. Prior work has shown that inserting an intermediate pre-training stage, using …",4회 인용
169,A three-stage learning framework for low-resource knowledge-grounded dialogue generation,"Neural conversation models have shown great potentials towards generating fluent and
informative responses by introducing external background knowledge. Nevertheless, it is …",4회 인용
170,Evaluating empathetic chatbots in customer service settings,"Customer service is a setting that calls for empathy in live human agent responses. Recent
advances have demonstrated how open-domain chatbots can be trained to demonstrate …",4회 인용
171,Measuring attribution in natural language generation models,"With recent improvements in natural language generation (NLG) models for various
applications, it has become imperative to have the means to identify and evaluate whether …",4회 인용
172,Conversational Entity Linking: Problem Definition and Datasets,"Machine understanding of user utterances in conversational systems is of utmost importance
for enabling engaging and meaningful conversations with users. Entity Linking (EL) is one of …",6회 인용
173,[HTML] The amazing world of neural language generation,"Abstract Neural Language Generation (NLG)–using neural network models to generate
coherent text–is among the most promising methods for automated text creation. Recent …",4회 인용
174,Knowledge injection into dialogue generation via language models,"Dialogue generation has been successfully learned from scratch by neural networks, but
tends to produce the same general response, eg,"" what are you talking about?"", in many …",5회 인용
175,[PDF] Generating reasonable legal text through the combination of language modeling and question answering,"Due to the improvement of Language Modeling, the emerging NLP assistant tools aiming for
text generation can greatly reduce the human workload on writing documents. However, the …",5회 인용
176,A compare aggregate transformer for understanding document-grounded dialogue,"Unstructured documents serving as external knowledge of the dialogues help to generate
more informative responses. Previous research focused on knowledge selection (KS) in the …",4회 인용
177,The gutenberg dialogue dataset,"Large datasets are essential for neural modeling of many NLP tasks. Current publicly
available open-domain dialogue datasets offer a trade-off between quality (eg, DailyDialog) …",5회 인용
178,"Reason first, then respond: Modular generation for knowledge-infused dialogue","Large language models can produce fluent dialogue but often hallucinate factual
inaccuracies. While retrieval-augmented models help alleviate this issue, they still face a …",4회 인용
179,Learning to retrieve entity-aware knowledge and generate responses with copy mechanism for task-oriented dialogue systems,"Task-oriented conversational modeling with unstructured knowledge access, as track 1 of
the 9th Dialogue System Technology Challenges (DSTC 9), requests to build a system to …",4회 인용
180,Assessing political prudence of open-domain chatbots,"Politically sensitive topics are still a challenge for open-domain chatbots. However, dealing
with politically sensitive content in a responsible, non-partisan, and safe behavior way is …",4회 인용
181,Are pre-trained language models knowledgeable to ground open domain dialogues?,"We study knowledge-grounded dialogue generation with pre-trained language models.
Instead of pursuing new state-of-the-art on benchmarks, we try to understand if the …",4회 인용
182,Kecrs: Towards knowledge-enriched conversational recommendation system,"The chit-chat-based conversational recommendation systems (CRS) provide item
recommendations to users through natural language interactions. To better understand …",5회 인용
183,Think before you speak: Using self-talk to generate implicit commonsense knowledge for response generation,"Implicit knowledge, such as common sense, is key to fluid human conversations. Current
neural response generation (RG) models are trained end-to-end, omitting unstated implicit …",5회 인용
184,Acquisition of periodic events with person attributes,"In this paper, we aim to acquire “periodic events” that represent significant actions that are
happened by groups of people in particular seasons or timing. Recently, the importance of …",4회 인용
185,Addressing inquiries about history: An efficient and practical framework for evaluating open-domain chatbot consistency,"A good open-domain chatbot should avoid presenting contradictory responses about facts
or opinions in a conversational session, known as its consistency capacity. However …",4회 인용
186,Towards socially intelligent agents with mental state transition and human utility,"Building a socially intelligent agent involves many challenges, one of which is to track the
agent's mental state transition and teach the agent to make rational decisions guided by its …",3회 인용
187,WikiContradiction: Detecting Self-Contradiction Articles on Wikipedia,"While Wikipedia has been utilized for fact-checking and claim verification to debunk
misinformation and disinformation, it is essential to either improve article quality and rule out …",3회 인용
188,[HTML] Learning Health-Bots from Training Data that was Automatically Created using Paraphrase Detection and Expert Knowledge,"A key bottleneck for developing dialog models is the lack of adequate training data. Due to
privacy issues, dialog data is even scarcer in the health domain. We propose a novel …",3회 인용
189,[PDF] Knowledge-grounded dialogue generation with term-level de-noising,"Dialogue generation has been improved through injecting knowledge into generative
models. However, addition of knowledge through simple selection of sentences or …",3회 인용
190,Fusing task-oriented and open-domain dialogues in conversational agents,"The goal of building intelligent dialogue systems has largely been separately pursued under
two paradigms: task-oriented dialogue (TOD) systems, which perform task-specific functions …",3회 인용
191,[PDF] Conversational agent for aerospace question answering: A position paper,"This paper introduces a research problem currently faced in the use of conversational
agents within the aerospace industry. The aerospace domain is characterized by products …",3회 인용
192,Decomposed mutual information estimation for contrastive representation learning,"Recent contrastive representation learning methods rely on estimating mutual information
(MI) between multiple views of an underlying context. Eg, we can derive multiple views of a …",6회 인용
193,[HTML] CoLV: A collaborative latent variable model for knowledge-grounded dialogue generation,"Abstract Knowledge-grounded dialogue generation has achieved promising performance
with the engagement of external knowledge sources. Typical approaches towards this task …",4회 인용
194,Human Evaluation of Conversations is an Open Problem: comparing the sensitivity of various methods for evaluating dialogue agents,"At the heart of improving conversational AI is the open problem of how to evaluate
conversations. Issues with automatic metrics are well known (Liu et al., 2016, arXiv …",4회 인용
195,Knowledge enhanced fine-tuning for better handling unseen entities in dialogue generation,"Although pre-training models have achieved great success in dialogue generation, their
performance drops dramatically when the input contains an entity that does not appear in …",3회 인용
196,[HTML] Caire in dialdoc21: Data augmentation for information seeking dialogue system,"Abstract Information-seeking dialogue systems, including knowledge identification and
response generation, aim to respond to users with fluent, coherent, and informative …",3회 인용
197,Attribute Alignment: Controlling Text Generation from Pre-trained Language Models,"Large language models benefit from training with a large amount of unlabeled text, which
gives them increasingly fluent and diverse generation capabilities. However, using these …",4회 인용
198,Adapting to context-aware knowledge in natural conversation for multi-turn response selection,"Virtual assistants aim to build a human-like conversational agent. However, current human-
machine conversations still cannot make users feel intelligent enough to build a continued …",3회 인용
199,Evaluating human-AI hybrid conversational systems with chatbot message suggestions,"ABSTRACT AI chatbots can offer suggestions to help humans answer questions by reducing
text entry effort and providing relevant knowledge for unfamiliar questions. We study whether …",5회 인용
200,DIALKI: Knowledge Identification in Conversational Systems through Dialogue-Document Contextualization,"Identifying relevant knowledge to be used in conversational systems that are grounded in
long documents is critical to effective response generation. We introduce a knowledge …",4회 인용
201,CSAGN: Conversational structure aware graph network for conversational semantic role labeling,"Conversational semantic role labeling (CSRL) is believed to be a crucial step towards
dialogue understanding. However, it remains a major challenge for existing CSRL parser to …",3회 인용
202,Local knowledge powered conversational agents,"State-of-the-art conversational agents have advanced significantly in conjunction with the
use of large transformer-based language models. However, even with these advancements …",3회 인용
203,Language models that seek for knowledge: Modular search & generation for dialogue and prompt completion,"Language models (LMs) have recently been shown to generate more factual responses by
employing modularity (Zhou et al., 2021) in combination with retrieval (Adolphs et al., 2021) …",4회 인용
204,Human-like informative conversations: Better acknowledgements using conditional mutual information,"This work aims to build a dialogue agent that can weave new factual content into
conversations as naturally as humans. We draw insights from linguistic principles of …",2회 인용
205,On incorporating structural information to improve dialogue response generation,"We consider the task of generating dialogue responses from background knowledge
comprising of domain specific resources. Specifically, given a conversation around a movie …",2회 인용
206,[PDF] Towards grounded natural language proof generation,"When a student is working on a mathematical proof, it is often helpful to receive suggestions
about how to proceed. To this end, we provide an initial study of two generation tasks in …",2회 인용
207,[PDF] Bernard: A stateful neural open-domain socialbot,"We propose Bernard: a framework for an engaging open-domain socialbot. While the task of
open-domain dialog generation remains a difficult one, we explore various strategies to …",2회 인용
208,Knowledge-grounded dialogue generation with a unified knowledge representation,"Knowledge-grounded dialogue systems are challenging to build due to the lack of training
data and heterogeneous knowledge sources. Existing systems perform poorly on unseen …",2회 인용
209,[HTML] Knowledge-Grounded Dialogue Flow Management for Social Robots and Conversational Agents,"The article proposes a system for knowledge-based conversation designed for Social
Robots and other conversational agents. The proposed system relies on an Ontology for the …",3회 인용
210,A survey of controllable text generation using transformer-based pre-trained language models,"Controllable Text Generation (CTG) is emerging area in the field of natural language
generation (NLG). It is regarded as crucial for the development of advanced text generation …",3회 인용
211,I love your chain mail! making knights smile in a fantasy game world,"Dialogue research tends to distinguish between chit-chat and goal-oriented tasks. While the
former is arguably more naturalistic and has a wider use of language, the latter has clearer …",2회 인용
212,Survey of Hallucination in Natural Language Generation,"Natural Language Generation (NLG) has improved exponentially in recent years thanks to
the development of deep learning technologies such as Transformer-based language …",3회 인용
213,[PDF] Knowledge bridging for empathetic dialogue generation,"Lack of external knowledge makes empathetic dialogue systems difficult to perceive implicit
emotions and learn emotional interactions from limited dialogue history. To address the …",3회 인용
214,[PDF] Evaluation of a virtual agent in guiding users from the non-clinical population in self-attachment intervention,"To address the issue of mental health, therapy chatbots have been developed in recent
years to deliver methods such as Cognitive Behavioural Therapy. Self-Attachment is an …",2회 인용
215,FinChat: Corpus and evaluation setup for Finnish chat conversations on everyday topics,"Creating open-domain chatbots requires large amounts of conversational data and related
benchmark tasks to evaluate them. Standardized evaluation tasks are crucial for creating …",2회 인용
216,An evaluation protocol for generative conversational systems,"There is a multitude of novel generative models for open-domain conversational systems;
however, there is no systematic evaluation of different systems. Systematic comparisons …",2회 인용
217,Relational Memory-Augmented Language Models,"We present a memory-augmented approach to condition an autoregressive language model
on a knowledge graph. We represent the graph as a collection of relation triples and retrieve …",3회 인용
218,[PDF] End-to-End Document-Grounded Conversation with Encoder-Decoder Pre-Trained Language Model,"The first track of the Ninth Dialog System Technology Challenge (DSTC9),“Beyond Domain
APIs: Task-Oriented Conversational Modeling with Unstructured Knowledge Access,” …",2회 인용
219,FaithDial: A Faithful Benchmark for Information-Seeking Dialogue,"The goal of information-seeking dialogue is to respond to seeker queries with natural
language utterances that are grounded on knowledge sources. However, dialogue systems …",2회 인용
220,A Survey of Natural Language Generation,"This paper offers a comprehensive review of the research on Natural Language Generation
(NLG) over the past two decades, especially in relation to data-to-text generation and text-to …",3회 인용
221,"[PDF] Neural, neural everywhere: Controlled generation meets scaffolded, structured dialogue","In this paper, we present the second iteration of Chirpy Cardinal, an open-domain dialogue
agent developed for the Alexa Prize SGC4 competition. Building on the success of the SGC3 …",2회 인용
222,Autoregressive search engines: Generating substrings as document identifiers,"Knowledge-intensive language tasks require NLP systems to both provide the correct
answer and retrieve supporting evidence for it in a given corpus. Autoregressive language …",3회 인용
223,Read before generate! faithful long form question answering with machine reading,"Long-form question answering (LFQA) aims to generate a paragraph-length answer for a
given question. While current work on LFQA using large pre-trained model for generation …",2회 인용
224,[HTML] DialDoc 2021 Shared Task: Goal-Oriented Document-grounded Dialogue Modeling,"We present the results of Shared Task at Workshop DialDoc 2021 that is focused on
document-grounded dialogue and conversational question answering. The primary goal of …",2회 인용
225,Reasoning over Public and Private Data in Retrieval-Based Systems,"Users and organizations are generating ever-increasing amounts of private data from a wide
range of sources. Incorporating private data is important to personalize open-domain …",2회 인용
226,[PDF] Dialogue in the wild: Learning from a deployed role-playing game with humans and bots,"Much of NLP research has focused on crowdsourced static datasets and the supervised
learning paradigm of training once and then evaluating test performance. As argued in de …",3회 인용
227,Probing commonsense explanation in dialogue response generation,"Humans use commonsense reasoning (CSR) implicitly to produce natural and coherent
responses in conversations. Aiming to close the gap between current response generation …",3회 인용
228,A Knowledge Driven Dialogue Model With Reinforcement Learning,"In recent decades, many researchers pay a lot of attention on generating informative
responses in end-to-end neural dialogue systems. In order to output the responses with …",2회 인용
229,Exploiting text matching techniques for knowledge-grounded conversation,"Knowledge-grounded conversation models aim at generating informative responses for the
given dialogue context, based on external knowledge. To generate an informative and …",2회 인용
230,"Towards information-rich, logical dialogue systems with knowledge-enhanced neural models","Dialogue systems have made massive promising progress contributed by deep learning
techniques and have been widely applied in our life. However, existing end-to-end neural …",3회 인용
231,Posscore: A simple yet effective evaluation of conversational search with part of speech labelling,"Conversational search systems, such as Google Assistant and Microsoft Cortana, provide a
new search paradigm where users are allowed, via natural language dialogues, to …",2회 인용
232,Proposal Towards a Personalized Knowledge-powered Self-play Based Ensemble Dialog System,"This is the application document for the 2019 Amazon Alexa competition. We give an overall
vision of our conversational experience, as well as a sample conversation that we would like …",2회 인용
233,"Detecting and Classifying Malevolent Dialogue Responses: Taxonomy, Data and Methodology","Conversational interfaces are increasingly popular as a way of connecting people to
information. Corpus-based conversational interfaces are able to generate more diverse and …",2회 인용
234,Transferable persona-grounded dialogues via grounded minimal edits,"Grounded dialogue models generate responses that are grounded on certain concepts.
Limited by the distribution of grounded dialogue data, models trained on such data face the …",2회 인용
235,[HTML] Automated Data-Driven Generation of Personalized Pedagogical Interventions in Intelligent Tutoring Systems,"Intelligent tutoring systems (ITS) have been shown to be highly effective at promoting
learning as compared to other computer-based instructional approaches. However, many …",4회 인용
236,[HTML] How Robust are Fact Checking Systems on Colloquial Claims?,"Abstract Knowledge is now starting to power neural dialogue agents. At the same time, the
risk of misinformation and disinformation from dialogue agents also rises. Verifying the …",2회 인용
237,Transformer encoder-decoder モデルによる趣味雑談システムの構築,"PDF 閲覧時に認証を求められる記事がございます (発行後 1 年間) が, 研究会登録メンバー
は無料で閲覧可能 です. 認証のための購読者番号やパスワードは オンライン会員情報管理 …",4회 인용
238,[HTML] Augmenting Topic Aware Knowledge-Grounded Conversations with Dynamic Built Knowledge Graphs,"Dialog topic management and background knowledge selection are essential factors for the
success of knowledge-grounded open-domain conversations. However, existing models are …",1회 인용
239,Towards knowledge-grounded counter narrative generation for hate speech,"Tackling online hatred using informed textual responses-called counter narratives-has been
brought under the spotlight recently. Accordingly, a research line has emerged to …",3회 인용
240,[HTML] Think Before You Speak: Explicitly Generating Implicit Commonsense Knowledge for Response Generation,"Implicit knowledge, such as common sense, is key to fluid human conversations. Current
neural response generation (RG) models are trained to generate responses directly …",1회 인용
241,[HTML] A model of cross-lingual knowledge-grounded response generation for open-domain dialogue systems,"Research on open-domain dialogue systems that allow free topics is challenging in the field
of natural language processing (NLP). The performance of the dialogue system has been …",1회 인용
242,Augmenting Transformers with KNN-Based Composite Memory,"Various machine learning tasks can benefit from access to external information of different
modalities, such as text and images. Recent work has focused on learning architectures with …",1회 인용
243,Multi-sentence knowledge selection in open-domain dialogue,"Incorporating external knowledge sources effectively in conversations is a longstanding
problem in open-domain dialogue research. The existing literature on open-domain …",1회 인용
244,[PDF] Survey of Hallucination in Natural Language Generation,"Abstract 1 Contents 1 1 Introduction 3 2 Definitions 4 2.1 Categorization 4 2.2 Task
Comparison 4 2.3 Terminology Clarification 5 3 Contributors to Hallucinations in NLG 7 3.1 …",1회 인용
245,A survey of multi-task learning in natural language processing: Regarding task relatedness and training methods,"Multi-task learning (MTL) has become increasingly popular in natural language processing
(NLP) because it improves the performance of related tasks by exploiting their …",1회 인용
246,[PDF] Human-like informative conversations via conditional mutual information,"The goal of this work is to build a dialogue agent that can weave new factual content into
conversations as naturally as humans. We draw insights from linguistic principles of …",1회 인용
247,[HTML] Multi-turn dialogue-oriented pretrained question generation model,"In recent years, teaching machines to ask meaningful and coherent questions has attracted
considerable attention in natural language processing. Question generation has found wide …",1회 인용
248,[HTML] A bichannel transformer with context encoding for document-driven conversation generation in social media,"Along with the development of social media on the internet, dialogue systems are becoming
more and more intelligent to meet users' needs for communication, emotion, and social …",2회 인용
249,SideControl: Controlled open-domain dialogue generation via additive side networks,"Transformer-based pre-trained language models boost the performance of open-domain
dialogue systems. Prior works leverage Transformer-based pre-trained language models to …",1회 인용
250,CASA: Conversational Aspect Sentiment Analysis for Dialogue Understanding,"Dialogue understanding has always been a bottleneck for many conversational tasks, such
as dialogue response generation and conversational question answering. To expedite the …",1회 인용
251,TemporalWiki: A Lifelong Benchmark for Training and Evaluating Ever-Evolving Language Models,"Language Models (LMs) become outdated as the world changes; they often fail to perform
tasks requiring recent factual information which was absent or different during training, a …",1회 인용
252,MemBERT: Injecting Unstructured Knowledge into BERT,"Transformers changed modern NLP in many ways. However, they can hardly exploit domain
knowledge, and like other blackbox models, they lack interpretability. Unfortunately …",1회 인용
253,Diverse dialogue generation by fusing mutual persona-aware and self-transferrer,"In recent years, personalized dialogue generation has attracted researchers' attention due to
its wide range of applications. Although there has been much excellent research, current …",1회 인용
254,A unified pre-training framework for conversational ai,"In this work, we explore the application of PLATO-2 on various dialogue systems, including
open-domain conversation, knowledge grounded dialogue, and task-oriented conversation …",1회 인용
255,There Are a Thousand Hamlets in a Thousand People's Eyes: Enhancing Knowledge-grounded Dialogue with Personal Memory,"Knowledge-grounded conversation (KGC) shows great potential in building an engaging
and knowledgeable chatbot, and knowledge selection is a key ingredient in it. However …",2회 인용
256,Learning to improve persona consistency in conversation generation with information augmentation,"In an open-domain conversation system, maintaining consistent persona is a key factor to
earn trust from users and engage users in the conversation. Existing methods suffer from the …",2회 인용
257,Hierarchical multimodal attention for end-to-end audio-visual scene-aware dialogue response generation,"This work is extended from our participation in the 7 th Dialogue System Technology
Challenge (DSTC7), where we participated in the Audio Visual Scene-aware Dialogue …",1회 인용
258,Achieving reliable human assessment of open-domain dialogue systems,"Evaluation of open-domain dialogue systems is highly challenging and development of
better techniques is highlighted time and again as desperately needed. Despite substantial …",1회 인용
259,[PDF] What Did You Refer to? Evaluating Co-References in Dialogue,"Existing neural end-to-end dialogue models have limitations on exactly interpreting the
linguistic structures, such as ellipsis, anaphor and co-reference, etc., in dialogue history …",1회 인용
260,WeChat AI & ICT's Submission for DSTC9 Interactive Dialogue Evaluation Track,"We participate in the DSTC9 Interactive Dialogue Evaluation Track (Gunasekara et al. 2020)
sub-task 1 (Knowledge Grounded Dialogue) and sub-task 2 (Interactive Dialogue). In sub …",1회 인용
261,Multi-stage prompting for knowledgeable dialogue generation,"Existing knowledge-grounded dialogue systems typically use finetuned versions of a
pretrained language model (LM) and large-scale knowledge bases. These models typically …",2회 인용
262,Artefact retrieval: Overview of NLP models with knowledge base access,"Many NLP models gain performance by having access to a knowledge base. A lot of
research has been devoted to devising and improving the way the knowledge base is …",1회 인용
263,Learning to express in knowledge-grounded conversation,"Grounding dialogue generation by extra knowledge has shown great potentials towards
building a system capable of replying with knowledgeable and engaging responses …",1회 인용
264,[HTML] A Pre-training Strategy for Zero-Resource Response Selection in Knowledge-Grounded Conversations,"Recently, many studies are emerging towards building a retrieval-based dialogue system
that is able to effectively leverage background knowledge (eg, documents) when conversing …",1회 인용
265,[HTML] Learning towards conversational ai: A survey,"Recent years have witnessed a surge of interest in the field of open-domain dialogue.
Thanks to the rapid development of social media, large dialogue corpus from the Internet …",1회 인용
266,Distilling the knowledge of large-scale generative models into retrieval models for efficient open-domain conversation,"Despite the remarkable performance of large-scale generative models in open-domain
conversation, they are known to be less practical for building real-time conversation systems …",1회 인용
267,Knowledge infused decoding,"Pre-trained language models (LMs) have been shown to memorize a substantial amount of
knowledge from the pre-training corpora; however, they are still limited in recalling factually …",1회 인용
268,Goal-Oriented Knowledge-Driven Neural Dialog Generation System,"In this paper, we propose a goal-oriented knowledge-driven neural dialog generation
system, which leads the conversation based on a knowledge graph. During the …",1회 인용
269,Dialog Inpainting: Turning Documents into Dialogs,"Many important questions (eg"" How to eat healthier?"") require conversation to establish
context and explore in depth. However, conversational question answering (ConvQA) …",1회 인용
270,Multimodal dialogue response generation,"Responsing with image has been recognized as an important capability for an intelligent
conversational agent. Yet existing works only focus on exploring the multimodal dialogue …",1회 인용
271,[PDF] Language-based general action template for reinforcement learning agents,"Prior knowledge plays a critical role in decision-making, and humans preserve such
knowledge in the form of natural language (NL). To emulate real-world decision-making …",1회 인용
272,[PDF] Radboud University at TREC CAsT 2021,"This paper describes Radboud University's participation in the TREC Conversational
Assistance Track (CAsT) 2021 for the manually rewritten utterances. We propose an entity …",1회 인용
273,Eva2. 0: Investigating open-domain chinese dialogue systems with large-scale pre-training,"Large-scale pre-training has shown remarkable performance in building open-domain
dialogue systems. However, previous works mainly focus on showing and evaluating the …",2회 인용
274,[PDF] Follow alice into the rabbit hole: Giving dialogue agents understanding of human level attributes,"For conversational AI and virtual assistants to communicate with humans in a realistic way,
they must exhibit human characteristics such as expression of emotion and personality …",1회 인용
275,Deep latent-variable models for neural text generation,"Text generation aims to produce human-like natural language output for down-stream tasks.
It covers a wide range of applications like machine translation, document summarization …",1회 인용
276,[PDF] Situated interactive multimodal conversations (simmc) track at dstc9,"The SIMMC challenge at DSTC9 aims to lay the foundations for multimodal virtual assistant
agents that can engage with the real-world, handle multimodal inputs, and perform …",1회 인용
277,[책] Neural Generation of Open-Ended Text and Dialogue,"Abstract Advances in Deep Learning have enabled more fluent and flexible Natural
Language Generation (NLG). While these neural generative systems achieved early …",1회 인용
278,"Knowledge Science, Engineering and Management","The International Conference on Knowledge Science, Engineering and Management
(KSEM) provides a forum for researchers in the broad areas of knowledge science …",1회 인용
279,Generative Model Using Knowledge Graph for Document-Grounded Conversations,"Featured Application Core technology for document-grounded conversation. Abstract
Document-grounded conversation (DGC) is a natural language generation task to generate …",1회 인용
280,You only need one model for open-domain question answering,"Recent works for Open-domain Question Answering refer to an external knowledge base
using a retriever model, optionally rerank the passages with a separate reranker model and …",1회 인용
281,A Roadmap for Big Model,"With the rapid development of deep learning, training Big Models (BMs) for multiple
downstream tasks becomes a popular paradigm. Researchers have achieved various …",1회 인용
282,Attention and Graph Matching Network for Retrieval-Based Dialogue System with Domain Knowledge,"Building an effective and friendly human-machine dialogue system is one of the major
challenges in Artificial Intelligence. This work proposes a new model named Graph and …",1회 인용
283,An empirical study on deep neural network models for chinese dialogue generation,"The task of dialogue generation has attracted increasing attention due to its diverse
downstream applications, such as question-answering systems and chatbots. Recently, the …",1회 인용
284,Open Questions for Next Generation Chatbots,"Over the last few years, there has been a growing interest in developing chatbots that can
converse intelligently with humans. For example, consider Microsoft's Xiaoice. It is a highly …",1회 인용
285,Investigating non-local features for neural constituency parsing,"Thanks to the strong representation power of neural encoders, neural chart-based parsers
have achieved highly competitive performance by using local features. Recently, it has been …",1회 인용
286,"Towards information-rich, logical text generation with knowledge-enhanced neural models","Text generation system has made massive promising progress contributed by deep learning
techniques and has been widely applied in our life. However, existing end-to-end neural …",1회 인용
287,[HTML] Challenges to Open-Domain Constituency Parsing,"Neural constituency parsers have reached practical performance on news-domain
benchmarks. However, their generalization ability to other domains remains weak. Existing …",1회 인용
288,Unified Dialog Model Pre-training for Task-Oriented Dialog Understanding and Generation,"Recently, pre-training methods have shown remarkable success in task-oriented dialog
(TOD) systems. However, most existing pre-trained models for TOD focus on either dialog …",1회 인용
289,TRUE: Re-evaluating Factual Consistency Evaluation,"Grounded text generation systems often generate text that contains factual inconsistencies,
hindering their real-world applicability. Automatic factual consistency evaluation may help …",2회 인용
290,Improving the Applicability of Knowledge-Enhanced Dialogue Generation Systems by Using Heterogeneous Knowledge from Multiple Sources,"Traditional conversational systems can only access the given query during the response
generation, leading to meaningless responses. To this end, researchers proposed to …",2회 인용
291,Strong Influence of Responses in Training Dialogue Response Generator,"The sequence-to-sequence model is a widely used model for dialogue response
generators, but it tends to generate safe responses for most input queries. Since safe …",1회 인용
292,Generating diverse conversation responses by creating and ranking multiple candidates,"This paper introduces our systems built for Track 2 of Dialog System Technology Challenge
7 (DSTC7). This challenge track aimed to evaluate the response generation methods using …",1회 인용
293,aoba_v2 bot: 多様な応答生成モジュールを統合した雑談対話システム,"抄録 本稿では対話システムライブコンペティション 4 のオープントラックに提出したシステム
について述べる. 本システムは, 応答生成機構と応答フィルタリング機構から構成される …",2회 인용
294,学習データの違いに対する Transformer Encoder-decoder 対話モデルの応答変化の分析,"抄録 近年, Transformer Encoder-decoder モデルを SNS 等の大規模なテキスト対話データで
事前学習し用いることで, 自然な対話を実現する手法が盛んに研究されている …",1회 인용
295,大規模深層学習による日本語雑談対話システムの到達点と課題,"我々は日々, 周りの人々との雑談を楽しみながら生活している. このような, 人の対話欲求を充足
させることを目的とするシステムを雑談対話システムと呼ぶ. システムとの対話は場所や時間に制約 …",1회 인용
296,[PDF] 自然语言预训练模型知识增强方法综述,"将知识引入到依靠数据驱动的人工智能模型中是实现人机混合智能的一种重要途径.
当前以BERT 为代表的预训练模型在自然语言处理领域取得了显著的成功, 但是由于预训练模型 …",1회 인용
297,Towards a Universal NLG for Dialogue Systems and Simulators with Future Bridging,"In a dialogue system pipeline, a natural language generation (NLG) unit converts the
dialogue direction and content to a corresponding natural language realization. A recent …",관련 학술자료
298,KETOD: Knowledge-Enriched Task-Oriented Dialogue,"Existing studies in dialogue system research mostly treat task-oriented dialogue and chit-
chat as separate domains. Towards building a human-like assistant that can converse …",1회 인용
299,TABi: Type-Aware Bi-Encoders for Open-Domain Entity Retrieval,"Entity retrieval--retrieving information about entity mentions in a query--is a key step in open-
domain tasks, such as question answering or fact checking. However, state-of-the-art entity …",관련 학술자료
300,Contrastive Text Generation,"This thesis focuses on developing summaries that present multiple view-points on issues of
interest. Such capacity is important in many areas like medical studies, where articles may …",관련 학술자료
301,Dialogue systems based on pre-trained language models,"Pre-trained language models (LMs) have shown to be effective in many NLP tasks. They can
capture general language regularities from a large amount of texts, which are useful for most …",관련 학술자료
302,"Extract, Denoise and Enforce: Evaluating and Improving Concept Preservation for Text-to-Text Generation","Prior studies on text-to-text generation typically assume that the model could figure out what
to attend to in the input and what to include in the output via seq2seq learning, with only the …",관련 학술자료
303,Stylized Knowledge-Grounded Dialogue Generation via Disentangled Template Rewriting,"Current Knowledge-Grounded Dialogue Generation (KDG) models specialize in producing
rational and factual responses. However, to establish long-term relationships with users, the …",관련 학술자료
304,"Re2G: Retrieve, Rerank, Generate","As demonstrated by GPT-3 and T5, transformers grow in capability as parameter spaces
become larger and larger. However, for tasks that require a large amount of knowledge, non …",관련 학술자료
305,Global-Selector: A New Benchmark Dataset and Model Architecture for Multi-turn Response Selection,"As an essential component of dialogue systems, multi-turn response selection aims to pick
out the optimal response among a set of candidates to improve the dialogue fluency. In this …",관련 학술자료
306,YuQ: A Chinese-Uyghur Medical-Domain Neural Machine Translation Dataset Towards Knowledge-Driven,"Recent advances of deep learning have been successful in delivering state-of-the-art
performance in medical analysis, However, deep neural networks (DNNs) require a large …",관련 학술자료
307,[HTML] Generating Biographies on Wikipedia: The Impact of Gender Bias on the Retrieval-Based Generation of Women Biographies,"Generating factual, long-form text such as Wikipedia articles raises three key challenges:
how to gather relevant evidence, how to structure information into well-formed text, and how …",관련 학술자료
